ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
2636094,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW800,,,Gas Tankless,"Gas,Propane",,7,,,,6,,,800,0.98,,,,,09/15/2022,08/16/2023,"United States, Canada",ES_1141425_AMPW800_08152023091436_8128864
2636095,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW650,,,Gas Tankless,"Gas,Propane",,6,,,,6,,,650,0.98,,,,,09/15/2022,08/16/2023,"United States, Canada",ES_1141425_AMPW650_08152023091436_1758843
2636096,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW3500,,,Gas Tankless,"Gas,Propane",,47,,,,12,,,3500,0.98,,,,,06/01/2021,08/16/2023,"United States, Canada",ES_1141425_AMPW3500_08152023091435_6306164
2636097,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW1250,,,Gas Tankless,"Gas,Propane",,12,,,,8,6,,1250,0.98,,,,,06/01/2021,08/16/2023,"United States, Canada",ES_1141425_AMPW1250_08152023091434_4395085
2636098,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW2500,,,Gas Tankless,"Gas,Propane",,36,,,,10,,,2500,0.98,,,,,06/01/2021,08/16/2023,"United States, Canada",ES_1141425_AMPW2500_08152023091435_9881150
2636099,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW4000,,,Gas Tankless,"Gas,Propane",,47,,,,12,,,4000,0.98,,,,,06/01/2021,08/16/2023,"United States, Canada",ES_1141425_AMPW4000_08152023091435_5300856
2636100,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW2000,,,Gas Tankless,"Gas,Propane",,17,,,,8,,,2000,0.98,,,,,06/01/2021,08/16/2023,"United States, Canada",ES_1141425_AMPW2000_08152023091435_6803585
2636101,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW3000,,,Gas Tankless,"Gas,Propane",,36,,,,10,,,3000,0.98,,,,,06/01/2021,08/16/2023,"United States, Canada",ES_1141425_AMPW3000_08152023091435_1030727
2636102,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW400,,,Gas Tankless,"Gas,Propane",,4,,,,4,,,399,0.98,,,,,09/15/2022,08/16/2023,"United States, Canada",ES_1141425_AMPW400_06202023135343_699921
2636103,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW1000,,,Gas Tankless,"Gas,Propane",,12,,,,8,6,,1000,0.98,,,,,06/01/2021,08/16/2023,"United States, Canada",ES_1141425_AMPW1000_08152023091433_3340740
