ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,UPC,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2024 Criteria
2380698,Lynx,LN15REF*,,Compact Refrigerator,768388082321,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,192,284,32,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_LN15REF*_061120211417495_7514088,Yes
2380755,Lynx,LN24DW*,,Compact Refrigerator,768388082420,Automatic,Yes,No,No,No,Yes,34,24,5,5,199,305,35,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_LN24DW*_061120211417543_8973026,Yes
2394096,LG,LRONC0605*,,Compact Refrigerator,195174039038,Manual,Yes,No,No,No,Yes,44.6,20.6,5.8,6.2,210,308,32,No,03/30/2022,03/18/2022,"United States, Canada",ES_1118034_LRONC0605*_03242022090551_80121512,Yes
2363319,LG,LRONC0705*,,Compact Refrigerator,195174001851;195174042519,Manual,Yes,No,No,No,No,51,20.6,6.9,6.9,220,315,30,No,07/20/2020,06/26/2020,"United States, Canada",ES_1118034_LRONC0705*_07222020122929_80049718,Yes
2379033,LG,LRTLS2403*,,Top Freezer,195174014233,Automatic,No,No,No,No,No,69,33,23.8,28.5,417,464,10,No,05/25/2021,05/20/2021,"United States, Canada",ES_1118034_LRTLS2403*_06082021100314_80084793,Yes
2394097,LG,LRTNC0705*,,Compact Refrigerator,195174039021,Automatic,Yes,No,No,No,Yes,55.1,21.9,6.6,7.8,255,431,41,No,03/30/2022,03/18/2022,"United States, Canada",ES_1118034_LRTNC0705*_03242022090551_80121512,Yes
2388394,LG,LRTNC0915*,,Top Freezer,195174028360,Automatic,No,No,No,No,No,65.6,21.9,9,10.5,286,318,10,No,11/20/2021,11/12/2021,"United States, Canada",ES_1118034_LRTNC0915*_11222021081547_5550001_,Yes
2329142,LG,LSBNC1021*,,Bottom Freezer,772454070570,Automatic,No,Yes,No,Yes,No,69.9,21.8,9.5,11.3,369,527,36,No,11/16/2018,10/31/2018,"United States, Canada",ES_1118034_LSBNC1021*_11012018111405_70204294,Yes
2508435,LG,LT11C2000*,,Top Freezer,195174065129,Automatic,No,No,No,No,No,64.6,23.6,11.1,13.2,291,340,14,No,06/15/2023,05/12/2023,"United States, Canada",ES_1118034_LT11C2000*_06192023112949_80169250,Yes
2650020,LG,LT13C2000*,,Top Freezer,195174068236,Automatic,No,No,No,No,No,67.8,27.5,13.2,15.7,300,360,17,No,09/05/2023,08/31/2023,"United States, Canada",ES_1118034_LT13C2000*_09062023140326_80182335,Yes
3442078,LG,LT18S1100*,,Top Freezer,195174074497,Automatic,No,No,No,No,No,65,27.5,17.5,21,344,403,15,No,03/18/2024,04/18/2024,"United States, Canada",ES_1118034_LT18S1100*_04192024121839_80207391,Yes
3442079,LG,LT18S1100*,,Top Freezer,195174076880,Automatic,No,No,No,No,No,65,27.5,17.5,21,344,403,15,No,03/18/2024,04/18/2024,"United States, Canada",ES_1118034_LT18S1100*_04192024121859_80207391,Yes
3442080,LG,LT18S1200*,,Top Freezer,195174076866,Automatic,No,No,No,Yes,No,65,27.5,17.5,21,440,487,12,No,04/05/2024,04/18/2024,"United States, Canada",ES_1118034_LT18S1200*_04192024121839_80207391,Yes
3354588,LG,LT18S2100*,,Top Freezer,195174071205,Automatic,No,No,No,No,No,65,27.5,17.5,21,344,403,15,No,12/29/2023,12/21/2023,"United States, Canada",ES_1118034_LT18S2100*_01022024111726_80195078,Yes
3354589,LG,LT18S2100*,,Top Freezer,195174076873,Automatic,No,No,No,No,No,65,27.5,17.5,21,344,403,15,No,12/29/2023,12/21/2023,"United States, Canada",ES_1118034_LT18S2100*_01022024111725_80195078,Yes
2346451,LG,LTCS20020*,,Top Freezer,195174001448;195174004548;195174027837;48231805179;48231805186,Automatic,No,No,No,No,No,66.1,29.9,20.2,24.4,387,431,10,No,09/13/2019,09/12/2019,"United States, Canada",ES_1118034_LTCS20020*_09142019112234_80017793,Yes
2353362,LG,LTCS20030*,,Top Freezer,195174025529;48231807227,Automatic,No,No,No,Yes,No,66.1,29.9,20.2,24.4,471,515,10,No,01/13/2020,01/09/2020,"United States, Canada",ES_1118034_LTCS20030*_01142020020513_80030723,Yes
2284444,LG,LTNS20220*,,Top Freezer,772454068522;772454068539;772454070211,Automatic,No,No,No,No,No,66.1,29.9,20.2,24.4,387,431,10,No,11/30/2016,11/18/2016,"United States, Canada",ES_1118034_LTNS20220*_11182016035515_70109213,Yes
2406366,Liebherr,C5250,,Bottom Freezer,4016803083870,Automatic,No,No,No,No,Yes,73,24,11.4,14.1,288,442,35,No,03/01/2023,05/16/2022,United States,C5250,Yes
2406367,Liebherr,C5740IM,,Bottom Freezer,4016803073710,Automatic,No,No,No,Yes,Yes,80,24,12.8,15.6,370,539,37,No,03/01/2023,05/16/2022,United States,C5740IM,Yes
3387630,Liebherr,C7540IM,,Bottom Freezer,4016803087557,Automatic,No,No,No,Yes,Yes,65,30,12.8,16.5,386,547,35,No,03/01/2024,01/12/2024,"United States, Canada",C7540IM,Yes
3387629,Liebherr,C7620,,Bottom Freezer,4016803125235,Automatic,No,No,No,No,Yes,73,29,15,18.7,305,482,37,No,03/01/2024,01/12/2024,"United States, Canada",C7620,Yes
3387633,Liebherr,CB7790IM,,Bottom Freezer,4016803058656,Automatic,No,No,No,Yes,Yes,79,29,16.8,20.5,435,582,30,No,03/01/2024,01/12/2024,"United States, Canada",CB7790IM,Yes
2325346,Magic Chef,MCDR1000BE,,Top Freezer,,Automatic,No,No,No,No,No,59.1,23.6,10.1,12.2,297,332,11,No,08/31/2018,08/14/2018,"United States, Canada",ES_1107227_MCDR1000BE_08202018120407_70194485,Yes
2325347,Magic Chef,MCDR1000ST,,Top Freezer,,Automatic,No,No,No,No,No,59.1,23.6,10.1,12.2,297,332,11,No,08/31/2018,08/14/2018,"United States, Canada",ES_1107227_MCDR1000ST_08202018120407_70194485,Yes
2325345,Magic Chef,MCDR1000WE,,Top Freezer,,Automatic,No,No,No,No,No,59.1,23.6,10.1,12.2,297,332,11,No,08/31/2018,08/14/2018,"United States, Canada",ES_1107227_MCDR1000WE_08202018120407_70194485,Yes
2218251,Magic Chef,MCR1010WEF,,Top Freezer,,Automatic,No,No,No,No,No,59.8,23.8,9.9,12.1,297,331,10,No,08/31/2014,08/22/2014,Canada,ES_1104918_MCR1010WEF_08112014124727_2752930,Yes
2380702,Marvel,MLRE*15-IS01A,,Compact Refrigerator,768388081119,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,192,284,32,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MLRE*15-IS01A_061120211417643_8326900,Yes
2380700,Marvel,MLRE*15-SS01A,,Compact Refrigerator,768388081126,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,192,284,32,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MLRE*15-SS01A_06112021141792_6673923,Yes
2380697,Marvel,MLWC*15-IS01A,,Compact Refrigerator,768388081140,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,192,284,32,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MLWC*15-IS01A_061120211417595_5021924,Yes
2380701,Marvel,MLWC*15-SS01A,,Compact Refrigerator,768388081355,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,192,284,32,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MLWC*15-SS01A_061120211417417_2747740,Yes
2380756,Marvel,MODR*24-SS71A,,Compact Refrigerator,768388082048,Automatic,Yes,No,No,No,Yes,34,24,5,5,199,305,35,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MODR*24-SS71A_061120211417339_5476064,Yes
2380704,Marvel,MORE*15-SS31A,,Compact Refrigerator,768388082055,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,192,284,32,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MORE*15-SS31A_061120211417385_7232982,Yes
2380741,Marvel,MPBV415-IS31A,,Compact Refrigerator,768388080822,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,191,284,33,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MPBV415-IS31A_061120211417709_8669237,Yes
2380738,Marvel,MPBV415-SS31A,,Compact Refrigerator,768388080839,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,191,284,33,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MPBV415-SS31A_061120211417995_2395059,Yes
3530769,Magic Chef,MCTM18B,,Top Freezer,,Automatic,No,No,No,No,No,66.9,28,17.6,20.8,360,402,10,No,05/17/2024,05/17/2024,"United States, Canada",ES_1107227_MCTM18B_05212024084040_80211160,Yes
3530770,Magic Chef,MCTM18PS,,Top Freezer,,Automatic,No,No,No,No,No,66.9,28,17.6,20.8,360,402,10,No,05/17/2024,05/17/2024,"United States, Canada",ES_1107227_MCTM18PS_05212024084040_80211160,Yes
3530768,Magic Chef,MCTM18W,,Top Freezer,,Automatic,No,No,No,No,No,66.9,28,17.6,20.8,360,402,10,No,05/17/2024,05/17/2024,"United States, Canada",ES_1107227_MCTM18W_05212024084040_80211160,Yes
2395812,Magic Cool,MCR10***,,Top Freezer,,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,No,04/22/2022,04/22/2022,"United States, Canada",ES_0092257_MCR10***_05122022033138_5550001_,Yes
3531033,Magic Cool,MCR75***,,Compact Refrigerator,,Automatic,Yes,No,No,No,Yes,56.3,21.9,7.5,7.5,250,380,34,Yes,05/14/2024,05/22/2024,"United States, Canada",ES_92257_MCR75_05232024120720_6511244,Yes
2315126,Marathon,MFF101*,,Top Freezer,,Automatic,No,No,No,No,No,59.1,26.2,10.1,12.2,297,332,11,No,01/20/2018,11/27/2017,Canada,ES_1137295_MFF101*_03012018110927_70171466,Yes
2315125,Marathon,MFF101W,,Top Freezer,,Automatic,No,No,No,No,No,59.1,26.2,10.1,12.2,297,332,11,No,01/20/2018,11/27/2017,Canada,ES_1137295_MFF101W_03012018110927_70171466,Yes
2346685,Marathon,MFF121WLH,,Top Freezer,,Automatic,No,No,No,No,No,59.6,28.9,11.6,14,310,347,11,No,09/06/2016,05/06/2019,Canada,ES_1137295_MFF121WLH2_08172019120400_80014551,Yes
2352175,Marathon,MFF122*,,Top Freezer,,Automatic,No,No,No,No,No,59.8,23.4,12.1,14.5,315,351,10,No,12/26/2019,12/31/2019,Canada,ES_1137295_MFF122*_12312019025813_1093963,Yes
2352176,Marathon,MFF122SS,,Top Freezer,,Automatic,No,No,No,No,No,59.8,23.4,12.1,14.5,315,351,10,No,12/26/2019,12/31/2019,Canada,ES_1137295_MFF122SS_12312019025750_1070881,Yes
2352177,Marathon,MFF122W,,Top Freezer,,Automatic,No,No,No,No,No,59.8,23.4,12.1,14.5,315,351,10,No,12/26/2019,12/31/2019,Canada,ES_1137295_MFF122W_12312019025709_1029939,Yes
2352178,Marathon,MFF122WLH,,Top Freezer,,Automatic,No,No,No,No,No,59.8,23.4,12.1,14.5,315,351,10,No,12/26/2019,12/31/2019,Canada,ES_1137295_MFF122WLH_12312019025733_1053240,Yes
2350612,Marathon,MFF182SS,,Top Freezer,,Automatic,No,No,No,No,No,66.1,29.5,18.3,21.8,358,410,13,No,11/01/2019,11/29/2019,Canada,ES_1137295_MFF182SS_12032019061127_3487275,Yes
2350613,Marathon,MFF182W,,Top Freezer,,Automatic,No,No,No,No,No,66.1,29.5,18.3,21.8,358,410,13,No,11/01/2019,11/29/2019,Canada,ES_1137295_MFF182W_12032019061118_3478227,Yes
2220314,Marvel,MA24RA1S***,,Compact Refrigerator,,Automatic,Yes,No,No,No,Yes,31,23.9,4.6,4.6,185,301,39,No,09/15/2014,09/24/2014,"United States, Canada",ES_1100125_MA24RA1S***_09242014055957_2765131,Yes
2380699,Marvel,MLBV*15-IS01A,,Compact Refrigerator,768388081096,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,192,284,32,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MLBV*15-IS01A_061120211417253_4826957,Yes
2380703,Marvel,MLBV*15-SS01A,,Compact Refrigerator,768388081324,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,192,284,32,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MLBV*15-SS01A_061120211417643_1741960,Yes
2315096,Magic Chef,HMDR1000BE,,Top Freezer,,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,No,01/20/2018,04/13/2021,"United States, Canada",ES_1107227_HMDR1000BE_03012018110927_70171466,Yes
2315097,Magic Chef,HMDR1000SE,,Top Freezer,,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,No,01/20/2018,04/13/2021,"United States, Canada",ES_1107227_HMDR1000SE_03012018110927_70171466,Yes
2315098,Magic Chef,HMDR1000ST,,Top Freezer,,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,No,01/20/2018,04/13/2021,"United States, Canada",ES_1107227_HMDR1000ST_03012018110927_70171466,Yes
2297037,Magic Chef,HMDR1000WE,",HMDR1000BE,; ,HMDR1000ST,",Top Freezer,665679006304,Automatic,No,No,No,No,No,59.8,23.6,10.1,12.2,297,332,11,No,05/25/2017,05/30/2017,United States,ES_1107227_HMDR1000WE_05252017193328_6408349,Yes
2315095,Magic Chef,HMDR1000WE,,Top Freezer,,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,No,01/20/2018,04/13/2021,"United States, Canada",ES_1107227_HMDR1000WE_03012018110927_70171466,Yes
2323316,Magic Chef,HMDR1000WF,,Top Freezer,,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,No,08/01/2018,04/13/2021,"United States, Canada",ES_1107227_HMDR1000WF_07262018032739_70192550,Yes
2379009,Magic Chef,MCAR1000BE,,Top Freezer,,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,No,04/20/2021,04/13/2021,"United States, Canada",ES_1107227_MCAR1000BE_06072021035859_80078413,Yes
2379011,Magic Chef,MCAR1000ST,,Top Freezer,,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,No,04/20/2021,04/13/2021,"United States, Canada",ES_1107227_MCAR1000ST_06072021035859_80078413,Yes
2379010,Magic Chef,MCAR1000WE,,Top Freezer,,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,No,04/20/2021,04/13/2021,"United States, Canada",ES_1107227_MCAR1000WE_06072021035859_80078413,Yes
2395856,Midea,HD-423ST-BKS,,Top Freezer,555555613392,Automatic,No,No,No,No,No,59.8,25,11.5,13.9,311,346,10,No,05/12/2022,05/11/2022,"United States, Canada",ES_1030337_HD-423ST-BKS_05132022014907_80127386,Yes
2349740,Midea,HD663FWE,,Top Freezer,,Automatic,No,No,No,No,No,67,33,18,21,362,403,10,No,11/10/2019,11/13/2019,"United States, Canada",ES_1030337_HD663FWE_11132019071429_9269276,Yes
2401509,Midea,HD-774**,",,* are additional numbers and, or letters to indicate the color and/or manufacturer control number",Top Freezer,555555562607;555555562638,Automatic,No,No,No,No,No,67,33,21,25.6,394,440,10,No,09/15/2022,09/15/2022,"United States, Canada",ES_1030337_HD-774**_091520220150714_6302760,Yes
2376212,Midea,MDRT663FGF*****,",,* are additional numbers and/or letters to indicate the color and/or manufacturer control number",Top Freezer,,Automatic,No,No,No,No,No,67,33,18,21,362,403,10,No,04/15/2021,04/19/2021,"United States, Canada",ES_1030337_MDRT663FGF*****_041420210418673_7599153,Yes
2380754,Marvel,MPDR424-IS71A,,Compact Refrigerator,768388080921,Automatic,Yes,No,No,No,Yes,34,24,5,5,199,305,35,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MPDR424-IS71A_061120211417313_3858411,Yes
2380757,Marvel,MPDR424-SS71A,,Compact Refrigerator,768388080938,Automatic,Yes,No,No,No,Yes,34,24,5,5,199,305,35,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MPDR424-SS71A_061120211417891_6661927,Yes
2380739,Marvel,MPWC415-IS31A,,Compact Refrigerator,768388080983,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,191,284,33,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MPWC415-IS31A_061120211417328_9349044,Yes
2380740,Marvel,MPWC415-SS31A,,Compact Refrigerator,768388080990,Automatic,Yes,No,No,No,Yes,34,15,2.7,2.7,191,284,33,No,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_MPWC415-SS31A_061120211417382_3983367,Yes
2405335,mbm,MRN14B,,Top Freezer,,Automatic,No,No,No,No,No,68.1,27.6,14.3,17,332,371,11,No,12/15/2022,12/06/2022,United States,ES_1143390_MRN14B_11142022192889_1190708,Yes
2405336,mbm,MRN14S,,Top Freezer,,Automatic,No,No,No,No,No,68.1,27.6,14.3,17,332,371,11,No,12/15/2022,12/06/2022,United States,ES_1143390_MRN14S_111420221928191_7625779,Yes
2405334,mbm,MRN14W,,Top Freezer,,Automatic,No,No,No,No,No,68.1,27.6,14.3,17,332,371,11,No,12/15/2022,12/06/2022,United States,ES_1143390_MRN14W_111420221928616_3711545,Yes
2271692,MicroChill,MCH4G16,,Compact Refrigerator,,Automatic,Yes,No,No,No,No,19.4,18.6,3.2,3.8,199,358,44,No,07/01/2016,07/05/2016,"United States, Canada",ES_1114425_MCH4G16_07062016033820_6300862,Yes
2403040,MicroFridge,10.0LMF4R,,Top Freezer,8587920001215,Automatic,No,No,No,No,No,58.8,23.8,10,12,263,331,21,No,10/30/2022,10/13/2022,"United States, Canada",ES_0092273_10.0LMF4R_10142022105157_80144506,Yes
2403042,MicroFridge,10.0LMF4RW,,Top Freezer,8587920001222,Automatic,No,No,No,No,No,58.8,23.8,10,12,263,331,21,No,10/30/2022,10/13/2022,"United States, Canada",ES_0092273_10.0LMF4RW_10142022105157_80144506,Yes
2403039,MicroFridge,10.0RMF4R,,Top Freezer,8587920001208,Automatic,No,No,No,No,No,58.8,23.8,10,12,263,331,21,No,10/30/2022,10/13/2022,"United States, Canada",ES_0092273_10.0RMF4R_10142022105157_80144506,Yes
2403041,MicroFridge,10.0RMF4RW,,Top Freezer,8587920001192,Automatic,No,No,No,No,No,58.8,23.8,10,12,263,331,21,No,10/30/2022,10/13/2022,"United States, Canada",ES_0092273_10.0RMF4RW_10142022105157_80144506,Yes
2315105,MicroFridge,10.1MF1R,,Top Freezer,67638014984,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,No,01/20/2018,11/27/2017,"United States, Canada",ES_0031682_10.1MF1R_03012018110927_70171466,Yes
2229663,MicroFridge,10.3LMF4R,,Top Freezer,8587920001215,Automatic,No,No,No,No,No,59,24,10.3,12.1,297,331,10,No,12/09/2014,12/04/2014,"United States, Canada",ES_0092273_10.3LMF4R_12042014111045_70017616,Yes
2229664,MicroFridge,10.3LMF4RW,,Top Freezer,8587920001222,Automatic,No,No,No,No,No,59,24,10.3,12.1,297,331,10,No,01/03/2015,12/04/2014,"United States, Canada",ES_0092273_10.3LMF4RW_12042014111045_70017616,Yes
2229661,MicroFridge,10.3RMF4R,,Top Freezer,8587920001208,Automatic,No,No,No,No,No,59,24,10.3,12.1,297,331,10,No,12/08/2014,12/04/2014,"United States, Canada",ES_0092273_10.3RMF4R_12042014111045_70017616,Yes
2229662,MicroFridge,10.3RMF4RW,,Top Freezer,8587920001192,Automatic,No,No,No,No,No,59,24,10.3,12.1,297,331,10,No,01/03/2015,12/04/2014,"United States, Canada",ES_0092273_10.3RMF4RW_12042014111045_70017616,Yes
2315166,MicroFridge,3.1MF7R,,Compact Refrigerator,67638008778,Automatic,Yes,No,No,No,No,32.9,18.5,3.1,3.8,195,358,46,No,01/22/2018,01/12/2018,"United States, Canada",ES_0031682_3.1MF7R_03012018110822_70170417,Yes
2315167,MicroFridge,3.1MF7RS,,Compact Refrigerator,67638008785,Automatic,Yes,No,No,No,No,32.9,18.5,3.1,3.8,195,358,46,No,01/22/2018,01/12/2018,"United States, Canada",ES_0031682_3.1MF7RS_03012018110822_70170417,Yes
2391844,MicroFridge,3.1MF7RW,,Compact Refrigerator,67638030267,Automatic,Yes,No,No,No,No,32.9,18.5,3.1,3.8,195,358,46,No,12/14/2021,12/14/2021,"United States, Canada",ES_0031682_3.1MF7RW2_01272022063751_80104253,Yes
2321539,Miele,K31222UI,,Compact Refrigerator,,Automatic,Yes,No,No,No,Yes,32.3,23.5,4.8,4.8,208,303,31,No,05/15/2018,06/20/2018,"United States, Canada",ES_1017655_K31222UI_06212018020527_70188344,Yes
2364133,Moffat,MTE18HTKBB*,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,08/07/2020,08/07/2020,Canada,ES_1130609_MTE18HTKBB*_08072020060605_0365796,Yes
2364134,Moffat,MTE18HTKRWW*,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,08/07/2020,08/07/2020,Canada,ES_1130609_MTE18HTKRWW*_08072020060557_0357117,Yes
3387631,Miele,KFN 4776 ED edt/cs,,Bottom Freezer,4002516517450,Automatic,No,No,No,No,Yes,73,29,15,18.7,305,482,37,No,03/01/2024,01/12/2024,"United States, Canada",KFN 4776 ED edt/cs,Yes
2406368,Miele,KFN 4799 DDE edt/cs,,Bottom Freezer,4002516516422,Automatic,No,No,No,Yes,Yes,80,24,12.8,15.6,370,539,37,No,03/01/2023,05/16/2022,United States,KFN 4799 DDE edt/cs,Yes
2393300,Miele,KFN 7734 D,,Bottom Freezer,4002516424703,Automatic,No,Yes,No,No,Yes,70,22,8.9,10.7,300,437,31,No,05/01/2022,02/24/2022,"United States, Canada",ES_0031629_KFN 7734 D5_02242022014356_80117927,Yes
2393301,Miele,KFN 7784 D,,Bottom Freezer,4002516424918,Automatic,No,Yes,No,No,Yes,70,22,8.9,10.7,300,437,31,No,05/01/2022,02/24/2022,"United States, Canada",ES_0031629_KFN 7784 D5_02242022014356_80117927,Yes
2393302,Miele,KFN 7795 D,,Bottom Freezer,4002516424925,Automatic,No,Yes,No,Yes,Yes,70,22,8.7,10.7,382,521,32,No,05/01/2022,02/24/2022,"United States, Canada",ES_0031629_KFN 7795 D5_02242022014356_80117927,Yes
2349847,Moffat,MPE12F*****,,Top Freezer,,Automatic,No,No,No,No,No,59.8,24,11.5,13.9,311,346,10,No,03/10/2016,02/29/2016,Canada,ES_1130609_MPE12F*****03102016060943_70062981,Yes
2349846,Moffat,MPE12F******,,Top Freezer,,Automatic,No,No,No,No,No,59.8,24,11.5,13.9,311,346,10,No,03/10/2016,02/29/2016,Canada,ES_1130609_MPE12F******03102016060943_70062981,Yes
2264447,Moffat,MTE18G*****,",MTE18H******,Asterisk * can be replaced by A to Z or 1 to 9 denotes products with features, which do not have an effect on energy performance,",Top Freezer,,Automatic,No,No,No,No,No,66.6,29.5,18,21,362,403,10,No,03/10/2016,05/06/2016,Canada,ES_1130609_MTE18GTKWW_04192016112216_4936962,Yes
2364129,Moffat,MTE18GSKSS*,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,08/07/2020,08/07/2020,Canada,ES_1130609_MTE18GSKSS*_08072020060545_0345556,Yes
2364130,Moffat,MTE18GTKWW*,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,08/07/2020,08/07/2020,Canada,ES_1130609_MTE18GTKWW*_08072020060535_0335924,Yes
2364131,Moffat,MTE18HSKLSS*,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,08/07/2020,08/07/2020,Canada,ES_1130609_MTE18HSKLSS*_08072020060622_0382085,Yes
2364132,Moffat,MTE18HSKRSS*,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,08/07/2020,08/07/2020,Canada,ES_1130609_MTE18HSKRSS*_08072020060614_0374350,Yes
2631729,Midea,MRT12B2A**,,Top Freezer,,Automatic,No,No,No,No,No,59.8,25,11.5,13.9,311,346,10,No,08/01/2023,08/01/2023,Canada,ES_1030337_MRT12B2A**_08012023112631_80178366,Yes
2635155,Midea,MRT14B3A**,",,* Suffix could be from 0 to 9 or from A to Z or blank to represent different unit color.",Top Freezer,687636007780,Automatic,No,No,No,No,No,60.6,27.6,14.3,17.1,333,372,10,No,08/06/2023,08/10/2023,"United States, Canada",ES_1030337_MRT14B3A**_081020230242902_3417226,Yes
3417940,Midea,MRT14D2B**,",,*: Suffix could be from 0 to 9 or from A to Z or blank to represent different unit color.",Top Freezer,840296506219,Automatic,No,No,No,No,No,60.6,27.6,14.3,17.1,333,372,10,No,03/12/2024,03/13/2024,"United States, Canada",ES_1030337_MRT14D2B**_031320240442789_2900390,Yes
2592090,Midea,MRT14D3B**,",,*: Suffix could be from 0 to 9 or from A to Z or blank to represent  different unit color.",Top Freezer,840296505151,Automatic,No,No,No,No,No,60.6,27.6,14.3,17.1,333,372,10,No,07/20/2023,07/21/2023,"United States, Canada",ES_1030337_MRT14D3B**_072120230124460_8168846,Yes
2453298,Midea,MRT18B2***,",,* are additional letters to indicate the color and, or manufacturer control number",Top Freezer,687636007537,Automatic,No,No,No,No,No,67,33,18,21,362,403,10,No,04/10/2023,04/14/2023,Canada,ES_1129046_MRT18B2***_041420230328969_8435470,Yes
2732040,Midea,MRT18D1B**,",,* Suffix could be from 0 to 9 or A to Z or blank to represent different unit color",Top Freezer,840296507711,Automatic,No,No,No,No,No,66.6,29.7,18.2,22.1,369,412,10,No,11/01/2023,11/02/2023,"United States, Canada",ES_1030337_MRT18D1B**_110220230316653_9231778,Yes
2732039,Midea,MRT18D2B**,",,* Suffix could be from 0 to 9 or A to Z or blank to represent different unit color",Top Freezer,840296506233,Automatic,No,No,No,No,No,66.6,29.7,18.2,22.1,369,412,10,No,11/01/2023,11/02/2023,"United States, Canada",ES_1030337_MRT18D2B**_110220230317729_2745626,Yes
2592089,Midea,MRT18D3B**,",,*: Suffix could be from 0 to 9 or from A to Z or blank to represent  different unit color.",Top Freezer,840296505182,Automatic,No,No,No,No,No,66.6,29.7,18.2,22.1,369,412,10,No,07/20/2023,07/21/2023,"United States, Canada",ES_1030337_MRT18D3B**_072120230039400_1912709,Yes
2732038,Midea,MRT18D4B**,",,* Suffix could be from 0 to 9 or A to Z or blank to represent different unit color",Top Freezer,840296507520,Automatic,No,No,No,No,No,66.6,29.7,18.2,22.1,369,412,10,No,11/01/2023,11/02/2023,"United States, Canada",ES_1030337_MRT18D4B**_110220230318571_5091021,Yes
2357885,Midea,MRT18S2A**,",,Asterisk * can be replaced by A to Z or 1 to 9 denotes products with features, which do not have an effect on energy performance",Top Freezer,,Automatic,No,No,No,No,No,67,33,18,21,361,403,10,No,04/08/2020,04/10/2020,"United States, Canada",ES_1030337_MRT18S2A**_04132020042940_2180196,Yes
2375987,Midea,MRT18S3A**,",,* are additional numbers and/or letters to indicate the color and/or manufacturer control number",Top Freezer,,Automatic,No,No,No,No,No,67,33,18,21,362,403,10,No,03/29/2021,04/06/2021,"United States, Canada",ES_1030337_MRT18S3A**_032920210044695_3533882,Yes
