ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,UPC,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2024 Criteria
2375909,Insignia,NS-RTM10WH2-C,,Top Freezer,,Automatic,No,No,No,No,No,59.5,23.6,10.1,12.2,283,332,15,No,03/21/2021,04/06/2021,"United States, Canada",ES_1059185_NS-RTM10WH2-C_04072021100145_2219023,Yes
2255615,Insignia,NS-RTM12SS7,",NS-RTM12SS7-C,; Refrigerator-Freezers,NS-RTM12SS7,",Top Freezer,,Automatic,No,No,No,No,No,59.9,24.1,11.5,13.9,311,346,10,No,12/25/2015,12/29/2015,"United States, Canada",ES_1059185_NS-RTM12SS7_12292015052906_6946834,Yes
2358414,Insignia,NS-RTM12SS7L*,",,* are additional numbers and, or letters to indicate the color and/or manufacturer control number",Top Freezer,,Automatic,No,No,No,No,No,59.8,24,11.5,13.9,311,346,10,No,04/20/2020,04/23/2020,"United States, Canada",ES_1059185_NS-RTM12SS7L*_04232020052816_9696289,Yes
2732283,Insignia,NS-RTM14***,",,* Suffix could be from 0 to 9 or A to Z or blank to represent different unit color",Top Freezer,600603304613,Automatic,No,No,No,No,No,61,28,14.2,17.1,333,372,10,No,10/27/2023,11/07/2023,"United States, Canada",ES_1059185_NS-RTM14***_110720230255296_7819959,Yes
2732281,Insignia,NS-RTM14SS5-C,,Top Freezer,600603304620,Automatic,No,No,No,No,No,61,28,14.2,17.1,333,372,10,No,10/27/2023,11/07/2023,Canada,ES_1059185_NS-RTM14SS5-C_110720230256851_1280694,Yes
2732282,Insignia,NS-RTM14WH5-C,,Top Freezer,600603304637,Automatic,No,No,No,No,No,61,28,14.2,17.1,333,372,10,No,10/27/2023,11/07/2023,Canada,ES_1059185_NS-RTM14WH5-C_110720230256575_8491433,Yes
2359720,Insignia,NS-RTM18****,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,05/14/2020,05/15/2020,"United States, Canada",ES_1059185_NS-RTM18****_05152020062556_3956419,Yes
2329498,Insignia,NS-RTM18******,",,* can be A-Z, a-z, 0-9, - or blank, for marketing purpose only, the series models are identical except the color or model name",Top Freezer,,Automatic,No,No,No,No,No,67,33,18,21,362,403,10,No,11/06/2018,11/12/2018,Canada,ES_1059185_NS-RTM18SS7-C_11122018075626_9386697,Yes
2400962,Insignia,NS-RTM18BK2,,Top Freezer,600603270987,Automatic,No,No,No,No,No,65,30,18.1,22,369,411,10,No,01/31/2022,08/31/2022,"United States, Canada",ES_1059185_NS-RTM18BK2_083120220559549_9899988,Yes
2400964,Insignia,NS-RTM18BK2L,,Top Freezer,600603270994,Automatic,No,No,No,No,No,65,30,18.1,22,369,411,10,No,01/31/2022,08/31/2022,"United States, Canada",ES_1059185_NS-RTM18BK2L_083120220600902_8206385,Yes
2359721,Insignia,NS-RTM18BK8L,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,05/14/2020,05/15/2020,"United States, Canada",ES_1059185_NS-RTM18BK8L_05152020062703_4023113,Yes
2297016,Ikea,IRT134FD*0*,,Top Freezer,,Automatic,No,No,No,Yes,No,65.9,28,14.4,17.3,420,457,10,No,05/30/2017,06/01/2017,"United States, Canada",ES_1092750_IRT134FD*0*_IM_06022017051812_70139697,Yes
2297017,Ikea,IRT134FD*0*,,Top Freezer,,Automatic,No,No,No,No,No,65.9,28,14.4,17.3,336,373,10,No,05/30/2017,06/01/2017,"United States, Canada",ES_1092750_IRT134FD*0*_06022017051812_70139697,Yes
2297018,Ikea,IRT138FD*0*,,Top Freezer,,Automatic,No,No,No,Yes,No,65.4,29.8,18.3,22.1,455,496,10,No,05/30/2017,06/01/2017,"United States, Canada",ES_1092750_IRT138FD*0*_06022017051812_70139697,Yes
2353866,Ikea,K00462152*,,Top Freezer,,Automatic,No,No,No,No,Yes,60.3,27.4,13.9,16.9,332,370,10,No,01/15/2020,01/15/2020,"United States, Canada",ES_1021080_K00462152*_01202020055319_80020721,Yes
2353868,Ikea,K00462152*,,Top Freezer,,Automatic,No,No,No,Yes,Yes,60.3,27.4,13.9,16.9,416,454,10,No,01/15/2020,01/15/2020,"United States, Canada",ES_1021080_K00462152*_01202020055318_80020721,Yes
2353867,Ikea,K80462148*,,Top Freezer,,Automatic,No,No,No,No,Yes,60.3,27.4,13.9,16.9,332,370,10,No,01/15/2020,01/15/2020,"United States, Canada",ES_1021080_K80462148*_01202020055315_80020721,Yes
2353869,Ikea,K80462148*,,Top Freezer,,Automatic,No,No,No,Yes,Yes,60.3,27.4,13.9,16.9,416,454,10,No,01/15/2020,01/15/2020,"United States, Canada",ES_1021080_K80462148*_01202020055317_80020721,Yes
