ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Max Nameplate Output Current (A),Input Voltage (V),Maximum Output Power (kW),Number of Outputs,Maximum Output Cord Length (ft.),Output Cord Gauge (AWG),"Screen Area, if EVSE has high res display (in2)",Maximum (100%) Measured Luminance of the High Res Display (candelas per m2),Automatic Brightness Control (ABC) Capable?,Connected Capable,DR Protocol,Connects Using,Protocols Used to Support Smart Charging,Network Security Standards,Is Broadband Internet Connection Needed for Demand Response?,Auxiliary Product Features,Product Features,Network Capability,Network Connection Types Available,No Vehicle Mode Input Power (watts),No Vehicle Mode Total Allowance (watts),No Vehicle Mode Power Factor,Partial On Mode Input Power (watts),Partial On Mode Total Allowance (watts),Partial On Mode Power Factor,Idle Mode Input Power (watts),Idle Mode Total Allowance (watts),Idle Mode Power Factor,Full Current Operation Mode Test: Total Loss (watts),30 A Operation Mode Test: Total Loss (watts),15 A Operation Mode Test: Total Loss (watts),4 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: No Vehicle Mode Input Power (watts),Dual Input No Vehicle Mode Total Allowance (watts),Dual Input Level 2: No Vehicle Mode Power Factor,Dual Input Level 2: Partial On Mode Input Power (watts),Dual Input Partial On Mode Total Allowance (watts),Dual Input Level 2:  Partial On Mode Power Factor,Dual Input Level 2:  Idle Mode Input Power (watts),Dual Input Idle Mode Total Allowance (watts),Dual Input Level 2:  Idle Mode Power Factor,Dual Input Level 2: Full Current Operation Mode Test: Total Loss (watts),Dual Input Level 2: 30 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: 15 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: 4 A Operation Mode Test: Total Loss (watts),Date Available on Market,Date Certified,Markets,CB Model Identifier
2391534,ABB E-mobility B.V.,(ABB),Terra AC W19-P8-R-*D-*,Terra AC W19-P8-R-*D-*,",Terra AC W19-P8-R-*C-############,; ,Terra AC W19-P8-R-*C-###########,; ,Terra AC W19-P8-R-*C-##########,; ,Terra AC W19-P8-R-*C-#########,; ,Terra AC W19-P8-R-*C-########,; ,Terra AC W19-P8-R-*C-#######,; ,Terra AC W19-P8-R-*C-######,; ,Terra AC W19-P8-R-*C-#####,; ,Terra AC W19-P8-R-*C-####,; ,Terra AC W19-P8-R-*C-###,; ,Terra AC W19-P8-R-*C-##,; ,Terra AC W19-P8-R-*C-#,; ,Terra AC W19-P8-R-*D-************,; ,Terra AC W19-P8-R-*D-***********,; ,Terra AC W19-P8-R-*D-**********,; ,Terra AC W19-P8-R-*D-*********,; ,Terra AC W19-P8-R-*D-********,; ,Terra AC W19-P8-R-*D-*******,; ,Terra AC W19-P8-R-*D-******,; ,Terra AC W19-P8-R-*D-*****,; ,Terra AC W19-P8-R-*D-****,; ,Terra AC W19-P8-R-*D-***,; ,Terra AC W19-P8-R-*D-**,",,Level 2,80,240,19.2,1,26,6,,,No,,,,,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",2.74,3.6,0.15,2.97,3.6,0.16,9.33,35.6,0.33,177,,,,,,,,,,,,,,,,,01/19/2022,01/19/2022,"United States, Canada",ES_1146276_Terra AC W19-P8-R-D-0_01112022135331_4330865
2391536,ABB E-mobility B.V.,(ABB),Terra AC W19-P8-RD-MCD-0,Terra AC W19-P8-RD-MCD-0,,,Level 2,80,240,19.2,1,26,6,20.52,,No,,,,,,,,,Yes,"Wi-Fi or Gigabit Ethernet,Cellular",5.47,5.9,0.26,5.6,5.9,0.26,12.35,37.9,0.37,179,,,,,,,,,,,,,,,,,01/19/2022,01/19/2022,"United States, Canada",ES_1146276_Terra AC W19-P8-RD-MCD-0_01112022140110_3664361
2399140,ABB E-mobility B.V.,ABB,Terra AC W9-P8-RD-*CD-*,Terra AC W9-P8-RD-*CD-*,",Terra AC W9-P8-RD-*CD-############,; ,Terra AC W9-P8-RD-*CD-###########,; ,Terra AC W9-P8-RD-*CD-##########,; ,Terra AC W9-P8-RD-*CD-#########,; ,Terra AC W9-P8-RD-*CD-########,; ,Terra AC W9-P8-RD-*CD-#######,; ,Terra AC W9-P8-RD-*CD-######,; ,Terra AC W9-P8-RD-*CD-#####,; ,Terra AC W9-P8-RD-*CD-####,; ,Terra AC W9-P8-RD-*CD-###,; ,Terra AC W9-P8-RD-*CD-##,; ,Terra AC W9-P8-RD-*CD-#,; ,Terra AC W9-P8-RD-*CD-************,; ,Terra AC W9-P8-RD-*CD-***********,; ,Terra AC W9-P8-RD-*CD-**********,; ,Terra AC W9-P8-RD-*CD-*********,; ,Terra AC W9-P8-RD-*CD-********,; ,Terra AC W9-P8-RD-*CD-*******,; ,Terra AC W9-P8-RD-*CD-******,; ,Terra AC W9-P8-RD-*CD-*****,; ,Terra AC W9-P8-RD-*CD-****,; ,Terra AC W9-P8-RD-*CD-***,; ,Terra AC W9-P8-RD-*CD-**,",,Level 2,40,240,9.6,1,26,8,20.52,273.4,No,,,,,,,Radio Frequency Identification (RFID),,Yes,Wi-Fi or Gigabit Ethernet,5.65,8.73,0.23,5.78,8.73,0.26,12.77,24.73,0.39,75,52,25,12,,,,,,,,,,,,,,07/15/2022,07/15/2022,"United States, Canada",ES_1146276_Terra AC W9-P8-RD-MCD-0_07132022165040_7744867
2399141,ABB E-mobility B.V.,ABB,Terra AC W19-P8-RD-*CD-*,Terra AC W19-P8-RD-*CD-*,",Terra AC W19-P8-RD-*CD-############,; ,Terra AC W19-P8-RD-*CD-###########,; ,Terra AC W19-P8-RD-*CD-##########,; ,Terra AC W19-P8-RD-*CD-#########,; ,Terra AC W19-P8-RD-*CD-########,; ,Terra AC W19-P8-RD-*CD-#######,; ,Terra AC W19-P8-RD-*CD-######,; ,Terra AC W19-P8-RD-*CD-#####,; ,Terra AC W19-P8-RD-*CD-####,; ,Terra AC W19-P8-RD-*CD-###,; ,Terra AC W19-P8-RD-*CD-##,; ,Terra AC W19-P8-RD-*CD-#,; ,Terra AC W19-P8-RD-*CD-************,; ,Terra AC W19-P8-RD-*CD-***********,; ,Terra AC W19-P8-RD-*CD-**********,; ,Terra AC W19-P8-RD-*CD-*********,; ,Terra AC W19-P8-RD-*CD-********,; ,Terra AC W19-P8-RD-*CD-*******,; ,Terra AC W19-P8-RD-*CD-******,; ,Terra AC W19-P8-RD-*CD-*****,; ,Terra AC W19-P8-RD-*CD-****,; ,Terra AC W19-P8-RD-*CD-***,; ,Terra AC W19-P8-RD-*CD-**,",,Level 2,80,240,19.2,1,26,6,20.52,273.4,No,,,,,,,Radio Frequency Identification (RFID),,Yes,Wi-Fi or Gigabit Ethernet,5.65,8.73,0.23,5.78,8.73,0.26,12.77,40.73,0.39,207,49,12,13,,,,,,,,,,,,,,07/18/2022,07/18/2022,"United States, Canada",ES_1146276_Terra AC W19-P8-RD-MCD-0_07132022170408_3695184
2351104,AddÉnergie Technologies Inc.,FLO,FLO CoRe+,CoRe+,",CoRe+ PS,",,Level 2,30,240,7.2,1,25,10,,,No,,,,,,,,,Yes,Other LAN (Local Area Network),3.41,3.6,0.29,3.49,3.6,0.3,4.81,15.6,0.32,87.06,87.06,25.93,6.62,,,,,,,,,,,,,,12/10/2019,12/10/2019,"United States, Canada",ES_1143909_CoRe+_12102019174205_1010101
2356003,AddÉnergie Technologies Inc.,Addenergie Technologies Inc,FH-1-STA-G5,FH-1-STA-G5,,,Level 2,30,240,7.2,1,25,10,,,No,,,,,,,,,Yes,Other LAN (Local Area Network),1.26,2.6,0.25,1.5,2.6,0.27,3.32,14.6,0.39,0,71.48,20.18,4.47,,,,,,,,,,,,,,03/02/2020,03/02/2020,"United States, Canada",ES_1143909_FH-1-STA-Gx-xxxx-xxx_03092020154931_8971326
2356004,AddÉnergie Technologies Inc.,Addenergie Technologies Inc,FH-1-STA-X5,FH-1-STA-X5,,,Level 2,32,240,7.68,1,25,10,,,No,,,,,,,,,Yes,Other LAN (Local Area Network),3.28,3.6,0.35,3.31,3.6,0.35,5.68,16.4,0.42,84.61,75.63,22.06,6.77,,,,,,,,,,,,,,03/02/2020,03/02/2020,"United States, Canada",ES_1143909_FH-1-STA-Xx-xxxx-xxx_03092020161039_0239538
2740374,AddÉnergie Technologies Inc.,Addenergie Technologies Inc,CoRe+ Max,CoRe+ Max,",CoRe+ XL,",,Level 2,80,240,19.2,1,24,18,,,No,,,,,,,Radio Frequency Identification (RFID),,Yes,Cellular,4.65,7.5,0.35,4.91,7.5,0.36,7.12,39.5,0.45,235.3,40.15,15.29,7.6,,,,,,,,,,,,,,11/20/2023,11/20/2023,"United States, Canada",ES_1143909_CoRe+ Max_111420232304609_5548176
2765433,AddÉnergie Technologies Inc.,Addenergie Technologies Inc,Core+V2PS,Core+V2PS,",Core+V2,",,Level 2,32,240,7.68,1,24,18,,,No,,,,,,,"Radio Frequency Identification (RFID),Revenue Grade Meter",,Yes,Cellular,3.4,8.5,0.33,3.45,8.5,0.33,5.26,21.3,0.39,82.89,73.89,22.42,6.55,,,,,,,,,,,,,,11/21/2023,11/21/2023,"United States, Canada",ES_1143909_Core+V2PS_111520230026494_7856199
2839336,AddÉnergie Technologies Inc.,Addenergie Technologies Inc,SmartTWO generation 4,SmartTWO generation 4,",S2-V4 20,; ,S2-V4 21,; ,S2-V4 22,; ,S2-V4 23,; ,S2-V4 24,; ,S2-V4 25,; ,S2-V4 26,; ,S2-V4 27,; ,S2-V4 28,; ,S2-V4 29,; ,S2-V4,",,Level 2,30,240,7.2,1,24,18,,,No,No,,,,,,"Radio Frequency Identification (RFID),Revenue Grade Meter",,Yes,Cellular,3.73,8.5,0.34,5.87,8.5,0.39,5.55,20.5,0.4,76.9,,23,6.42,,,,,,,,,,,,,,12/08/2023,12/08/2023,"United States, Canada",ES_1143909_SmartTWO generation 4_112120231916466_8032597
