ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Width (inches),Depth (inches),Capacity - Maximum Number of Place Settings,Soil-Sensing Capability,Tub Material,Drying Method,Additional Product Features,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2024 Criteria
3417781,Smeg,STU2FABBL2,",LSPU8653X,; ,STU2FABCR2,; ,STU2FABRD2,; ,STU2FABWH2,; ,STU8633,",8017709303594;8017709303600;8017709303617;8017709303624;8017709303655;8017709303754,Standard,24,24,13,Yes,Hybrid (Plastic & Steel),Automatic Door Release,"Cycle Status Lights,Third Rack",224,307,27,2.6,5,48,No,,,,,02/26/2024,03/07/2024,"United States, Canada",ES_92281_STU2FABBL2_02262024152153_4225732,Yes
2583161,Summit,DW18SS4,,8690842265532,Standard,44.8,57,8,Yes,Stainless Steel,Condensation Dry,Top Controls,220,307,28,2.4,5,52,No,,,,,07/30/2019,07/18/2023,"United States, Canada",ES_92282_DW18SS4_06112019182251_7371755,Yes
2587150,VIKING,FDWU324,,8690842205927,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Front Controls,225,307,27,2.36,5,53,No,,,,,12/29/2017,07/19/2023,"United States, Canada",ES_31770_FDWU324_05232018170658_5218667,Yes
2587153,VIKING,FDWU524,,8690842205934,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Top Controls,225,307,27,2.37,5,53,No,,,,,08/01/2018,07/19/2023,"United States, Canada",ES_31770_FDWU524_05232018171640_5800544,Yes
2587143,VIKING,VDWU324SS,,8690842207419,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Front Controls,225,307,27,2.36,5,53,No,,,,,12/29/2017,07/19/2023,"United States, Canada",ES_31770_VDWU324SS_05232018170712_5232589,Yes
2587149,VIKING,VDWU524SS,,8690842200649,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Top Controls,225,307,27,2.37,5,53,No,,,,,08/01/2018,07/19/2023,"United States, Canada",ES_31770_VDWU524SS_05232018171707_5827927,Yes
2679740,Miele,G 7186 SCVi,,4002516770794;4002516770954,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,"United States, Canada",ES_0031629_G 7186 SCVi_10102023103223_80185868,Yes
2679741,Miele,G 7186 SCVi SFP,,4002516770671,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,United States,ES_0031629_G 7186 SCVi SFP_10102023103223_80185868,Yes
2679742,Miele,G 7193 SCVi,,4002516770688,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,United States,ES_0031629_G 7193 SCVi_10102023103223_80185868,Yes
2679743,Miele,G 7196 SCVi SF,,4002516770695,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,United States,ES_0031629_G 7196 SCVi SF_10102023103223_80185868,Yes
2679744,Miele,G 7216 SCU,,4002516770404;4002516770961,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Front Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,"United States, Canada",ES_0031629_G 7216 SCU_10102023103223_80185868,Yes
2679745,Miele,G 7266 SCVi,,4002516770817;4002516770978,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,"United States, Canada",ES_0031629_G 7266 SCVi_10102023103223_80185868,Yes
2679746,Miele,G 7266 SCVi SF,,4002516770824,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,United States,ES_0031629_G 7266 SCVi SF_10102023103223_80185868,Yes
2679747,Miele,G 7268 SCVi SFP,,4002516770831,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,United States,ES_0031629_G 7268 SCVi SFP_10102023103223_80185868,Yes
2679748,Miele,G 7606 SCU,,4002516770848;4002516770985,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Front Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,"United States, Canada",ES_0031629_G 7606 SCU_10102023103223_80185868,Yes
2679749,Miele,G 7656 SCVi,,4002516770855;4002516770992,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,"United States, Canada",ES_0031629_G 7656 SCVi_10102023103223_80185868,Yes
2679750,Miele,G 7656 SCVi SF,,4002516770725,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,United States,ES_0031629_G 7656 SCVi SF_10102023103223_80185868,Yes
2679751,Miele,G 7716 SCi,,4002516770916,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Front Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,Canada,ES_0031629_G 7716 SCi_10102023103223_80185868,Yes
2679752,Miele,G 7766 SCVi,,4002516770732;4002516770923,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,"United States, Canada",ES_0031629_G 7766 SCVi_10102023103223_80185868,Yes
2679753,Miele,G 7766 SCVi SF,,4002516770749,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,United States,ES_0031629_G 7766 SCVi SF_10102023103223_80185868,Yes
2679754,Miele,G 7791 SCVi,,4002516770756,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,United States,ES_0031629_G 7791 SCVi_10102023103223_80185868,Yes
2679755,Miele,G 7796 SCVi,,4002516770763,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,United States,ES_0031629_G 7796 SCVi_10102023103223_80185868,Yes
2679756,Miele,G 7936 SCi,,4002516770770;4002516770930,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Front Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,"United States, Canada",ES_0031629_G 7936 SCi_10102023103223_80185868,Yes
2679757,Miele,G 7986 SCVi,,4002516770787;4002516770947,Standard,23.6,21.8,16,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",210,307,32,3.2,5,36,No,,,,,05/01/2024,10/10/2023,"United States, Canada",ES_0031629_G 7986 SCVi_10102023103223_80185868,Yes
